"Pond","Taxa","Species","Group","Sample_ID","Weight","D15N","D13C","C.N"
"P09","Agile frog","Agile frog","Amphibians","66GAGI11",0.3131,4,-34.06,3.59
"P09","Agile frog","Agile frog","Amphibians","66GAGI12",0.3997,4.72,-35.18,3.55
"P09","Agile frog","Agile frog","Amphibians","66GAGI14",0.3909,4.51,-34.97,3.57
"P09","Agile frog","Agile frog","Amphibians","66GAGI15",0.2596,4.79,-33.6,3.65
"P09","Agile frog","Agile frog","Amphibians","66GAGI16",0.3567,4.83,-33.87,3.61
"P09","Agile frog","Agile frog","Amphibians","66GAGI17",0.4055,5.11,-33.22,3.58
"P09","Agile frog","Agile frog","Amphibians","66GAGI18",0.3878,4.5,-33.62,3.65
"P09","Agile frog","Agile frog","Amphibians","66GAGI19",0.3158,4.42,-34.45,3.68
"P09","Agile frog","Agile frog","Amphibians","66GAGI20",0.3174,5.01,-34.63,3.7
"P09","Tree frog","Tree frog","Amphibians","66RVER1XP",0.2243,3.4,-35.62,3.57
"P09","Tree frog","Tree frog","Amphibians","66RVER2XP",0.2978,4.31,-36.15,3.67
"P09","Tree frog","Tree frog","Amphibians","66RVER19",0.2933,4.85,-37.16,3.57
"P09","Tree frog","Tree frog","Amphibians","66RVER4XP",0.2368,5.27,-35.18,3.64
"P09","Tree frog","Tree frog","Amphibians","66RVER6",0.23,4.21,-36.76,3.73
"P09","Tree frog","Tree frog","Amphibians","66RVER16",0.2696,5.28,-34.87,3.67
"P09","Tree frog","Tree frog","Amphibians","66RVER17",0.3029,4.48,-35.18,3.72
"P09","Tree frog","Tree frog","Amphibians","66RVER7",0.2471,5.34,-36.5,3.62
"P09","Tree frog","Tree frog","Amphibians","66RVER15",0.2556,4.6,-34.09,3.59
"P09","Tree frog","Tree frog","Amphibians","66RVER15XP",0.2306,5.47,-35.59,3.63
"P09","Tree frog","Tree frog","Amphibians","66RVER9",0.3755,4.38,-36.67,3.67
"P09","Tree frog","Tree frog","Amphibians","66RVER9XP",0.2676,3.71,-36,3.62
"P09","Tree frog","Tree frog","Amphibians","66RVER10",0.2445,3.91,-35.34,3.68
"P09","Tree frog","Tree frog","Amphibians","66RVER7XP",0.225,3.74,-34.8,3.51
"P09","Tree frog","Tree frog","Amphibians","66RVER11",0.2713,4.97,-35.41,3.7
"P09","Tree frog","Tree frog","Amphibians","66RVER11XP",0.2603,4.44,-34.93,3.63
"P09","Tree frog","Tree frog","Amphibians","66RVER12XP",0.408,3.76,-35.65,3.72
"P09","Tree frog","Tree frog","Amphibians","66RVER12",0.2307,4.23,-35.05,3.59
"P09","Tree frog","Tree frog","Amphibians","66RVER14XP",0.4225,4.38,-36.11,3.63
"P09","Tree frog","Tree frog","Amphibians","66RVER13XP",0.401,4.15,-35.6,3.7
"P01","Agile frog","Agile frog","Amphibians","17GAGI18",0.3952,4.73,-29.59,3.64
"P01","Agile frog","Agile frog","Amphibians","17GAGI4",0.3375,5.82,-33.23,3.61
"P01","Agile frog","Agile frog","Amphibians","17GAGI11",0.3277,4.2,-31.96,3.57
"P01","Agile frog","Agile frog","Amphibians","17GAGI7",0.3821,6.74,-31.97,3.64
"P01","Agile frog","Agile frog","Amphibians","17GAGI5",0.3758,6.54,-32.67,3.57
"P01","Agile frog","Agile frog","Amphibians","17GAGI12",0.3759,4.4,-31.17,3.59
"P01","Agile frog","Agile frog","Amphibians","17GAGI9",0.3845,5.01,-32.17,3.65
"P01","Agile frog","Agile frog","Amphibians","17GAGI13",0.4299,5.87,-32.86,3.59
"P01","Agile frog","Agile frog","Amphibians","17GAGI15",0.4386,6.12,-32.37,3.57
"P01","Agile frog","Agile frog","Amphibians","17GAGI10",0.4025,5.49,-30.73,3.71
"P01","Agile frog","Agile frog","Amphibians","17GAGI2",0.2996,5.51,-32.7,3.64
"P01","Agile frog","Agile frog","Amphibians","17GAGI8",0.3246,4.97,-29.29,3.61
"P01","Agile frog","Agile frog","Amphibians","17GAGI3",0.4466,6.24,-31.82,3.5
"P01","Agile frog","Agile frog","Amphibians","17GAGI17",0.4224,6.48,-31.53,3.58
"P01","Agile frog","Agile frog","Amphibians","17GAGI19",0.3882,6.2,-32.33,3.6
"P01","Agile frog","Agile frog","Amphibians","17GAGI20",0.3515,4.39,-29.31,3.59
"P01","Agile frog","Agile frog","Amphibians","17GAGI1",0.4004,6.01,-31.68,3.41
"P01","Agile frog","Agile frog","Amphibians","17GAGI6",0.4205,5.97,-32.38,3.62
"P01","Agile frog","Agile frog","Amphibians","17GAGI14",0.4153,5.57,-33.41,3.59
"P01","Agile frog","Agile frog","Amphibians","17GAGI16",0.3219,5.27,-32.16,3.59
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL20",0.3621,9.34,-29.09,3.45
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL17",0.4017,9.11,-28.11,3.49
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL18",0.2932,9.47,-28.4,3.35
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL11",0.3646,7.19,-27.99,3.39
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL7",0.3873,9.7,-28.92,3.42
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL1",0.44,7.91,-27.19,3.39
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL14",0.3875,8.6,-28.67,3.45
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL9",0.3931,8.45,-27.58,3.4
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL19",0.4188,9.97,-28.63,3.52
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL5",0.4455,9.37,-27.96,3.4
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL16",0.3962,9.42,-27.72,3.42
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL3",0.4164,9.5,-27.42,3.46
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL15",0.4161,9.01,-27.76,3.44
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL12",0.2561,9.16,-28.88,3.32
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL2",0.4529,7.91,-26.53,3.38
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL4",0.4145,9.26,-27.35,3.37
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL10",0.4064,8.85,-28.63,3.47
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL13",0.4033,8.35,-27.77,3.42
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL8",0.3904,9.97,-28.82,3.48
"P01","Palmate newt","Palmate newt","Amphibians","17TPAL6",0.3999,8.28,-27.6,3.4
"P01","Tree frog","Tree frog","Amphibians","17RVER8",0.3557,4.75,-32.45,3.58
"P01","Tree frog","Tree frog","Amphibians","17RVER10",0.4038,4.37,-32.28,3.72
"P01","Tree frog","Tree frog","Amphibians","17RVER12",0.4258,4.58,-32.19,3.69
"P01","Tree frog","Tree frog","Amphibians","17RVER11",0.4076,4.24,-31.19,3.76
"P01","Tree frog","Tree frog","Amphibians","17RVER14",0.3335,4.34,-30.25,3.75
"P01","Tree frog","Tree frog","Amphibians","17RVER5",0.4024,4.44,-32.02,3.67
"P01","Tree frog","Tree frog","Amphibians","17RVER9",0.4122,4.46,-32.32,3.66
"P01","Tree frog","Tree frog","Amphibians","17RVER16",0.3775,4.14,-31.54,3.71
"P01","Tree frog","Tree frog","Amphibians","17RVER7",0.404,4.53,-32.53,3.68
"P01","Tree frog","Tree frog","Amphibians","17RVER17",0.4387,4.58,-31.21,3.96
"P01","Tree frog","Tree frog","Amphibians","17RVER6",0.3935,4.28,-32.26,3.8
"P01","Tree frog","Tree frog","Amphibians","17RVER15",0.4295,4.49,-32.17,3.83
"P01","Tree frog","Tree frog","Amphibians","17RVER2",0.3965,4.35,-32.35,3.8
"P01","Tree frog","Tree frog","Amphibians","17RVER20",0.3806,4.26,-33.25,3.72
"P01","Tree frog","Tree frog","Amphibians","17RVER3",0.4237,4.2,-31.93,3.7
"P01","Tree frog","Tree frog","Amphibians","17RVER19",0.3897,4.43,-31.62,3.71
"P01","Tree frog","Tree frog","Amphibians","17RVER4",0.4315,4.22,-32.53,3.64
"P01","Tree frog","Tree frog","Amphibians","17RVER18",0.325,4.84,-32.09,3.66
"P01","Tree frog","Tree frog","Amphibians","17RVER1",0.4143,4.2,-31.44,3.77
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR19",0.4202,8.01,-25.95,3.27
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR11",0.404,8.8,-26.48,3.31
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR4",0.4399,8.79,-27.17,3.42
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR8",0.4135,8.52,-26.34,3.39
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR7",0.4095,8.96,-27.24,3.33
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR5",0.4276,9.97,-27.26,3.41
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR3",0.3955,10.22,-26.46,3.47
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR16",0.4011,8.58,-28.07,3.43
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR18",0.3951,8.04,-26.9,3.41
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR12",0.4125,10.04,-27.41,3.34
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR15",0.421,8.72,-26.76,3.33
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR10",0.4361,8.87,-26.45,3.36
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR1",0.4454,8.37,-25.63,3.38
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR14",0.4343,9.58,-27.36,3.34
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR13",0.4309,7.52,-27.33,3.28
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR17",0.4166,8.64,-27.13,3.38
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR2",0.4225,7.93,-26.44,3.4
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR6",0.4202,8.2,-27.61,3.41
"P01","Marbled newt","Marbled newt","Amphibians","17TMAR9",0.416,8.19,-26.85,3.36
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL7",0.4168,9.13,-26.43,3.55
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL13",0.4298,9.74,-26.41,3.49
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL11",0.4006,9.1,-26.9,3.47
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL15",0.4027,8.06,-26.12,3.46
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL6",0.4049,7.76,-26.93,3.44
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL8",0.4162,9.76,-26.9,3.5
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL20",0.4177,10.46,-26.82,3.46
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL2",0.2953,7.71,-26.62,3.36
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL17",0.4272,9.01,-26.71,3.31
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL19",0.3894,9.4,-27.21,3.48
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL3",0.3957,8.21,-26.08,3.44
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL14",0.4173,7.5,-26.36,3.52
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL5",0.4261,8.54,-27.35,3.44
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL4",0.4021,8.89,-26.84,3.43
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL1",0.4176,8.84,-27.26,3.46
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL9",0.4048,7.87,-26.25,3.38
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL10",0.3781,8.17,-26.67,3.45
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL12",0.4032,8.69,-26.43,3.45
"P04","Palmate newt","Palmate newt","Amphibians","56TPAL16",0.4277,9.08,-27.13,3.45
"P04","Agile frog","Agile frog","Amphibians","56GAGI11",0.3395,7.21,-31.08,3.59
"P04","Agile frog","Agile frog","Amphibians","56GAGI13",0.2477,6.42,-30.73,3.53
"P04","Agile frog","Agile frog","Amphibians","56GAGI19",0.3695,6.35,-31.91,3.56
"P04","Agile frog","Agile frog","Amphibians","56GAGI4",0.2838,7.06,-31.22,3.53
"P04","Agile frog","Agile frog","Amphibians","56GAGI10",0.4343,7.26,-30.42,3.55
"P04","Agile frog","Agile frog","Amphibians","56GAGI14",0.4117,6.7,-31.8,3.58
"P04","Agile frog","Agile frog","Amphibians","56GAGI18",0.4223,6.61,-31.78,3.49
"P04","Agile frog","Agile frog","Amphibians","56GAGI1",0.4388,6.83,-30.81,3.64
"P04","Agile frog","Agile frog","Amphibians","56GAGI3",0.4407,6.37,-31.14,3.62
"P04","Agile frog","Agile frog","Amphibians","56GAGI8",0.4075,7.02,-31.2,3.56
"P04","Agile frog","Agile frog","Amphibians","56GAGI17",0.2379,6.52,-32.15,3.51
"P04","Agile frog","Agile frog","Amphibians","56GAGI20D",0.4141,6.49,-31.68,3.52
"P04","Agile frog","Agile frog","Amphibians","56GAGI5",0.4225,6.84,-31.25,3.62
"P04","Agile frog","Agile frog","Amphibians","56GAGI16",0.4099,6.59,-31.41,3.51
"P04","Agile frog","Agile frog","Amphibians","56GAGI7",0.4062,7.23,-31.92,3.53
"P04","Agile frog","Agile frog","Amphibians","56GAGI2",0.3215,7.14,-30.77,3.56
"P04","Agile frog","Agile frog","Amphibians","56GAGI20",0.3875,6.4,-31.54,3.52
"P04","Agile frog","Agile frog","Amphibians","56GAGI9",0.2904,6.32,-31.69,3.44
"P04","Agile frog","Agile frog","Amphibians","56GAGI6",0.3115,6.96,-31.41,3.53
"P04","Agile frog","Agile frog","Amphibians","56GAGI12",0.4066,6.32,-32.31,3.45
"P04","Tree frog","Tree frog","Amphibians","56RVER19",0.3311,7.76,-27.66,3.56
"P04","Tree frog","Tree frog","Amphibians","56RVER14",0.4066,8.94,-26.76,3.65
"P04","Tree frog","Tree frog","Amphibians","56RVER17",0.3221,8.51,-26.07,3.62
"P04","Tree frog","Tree frog","Amphibians","56RVER3",0.2364,8.94,-24.16,3.59
"P04","Tree frog","Tree frog","Amphibians","56RVER20",0.3636,8.62,-26.48,3.56
"P04","Tree frog","Tree frog","Amphibians","56RVER7",0.3158,9.12,-24.12,3.62
"P04","Tree frog","Tree frog","Amphibians","56RVER16",0.4144,9.2,-26.22,3.6
"P04","Tree frog","Tree frog","Amphibians","56RVER12",0.3023,8.58,-26.11,3.66
"P04","Tree frog","Tree frog","Amphibians","56RVER15",0.2243,8.67,-26.15,3.66
"P04","Tree frog","Tree frog","Amphibians","56RVER6",0.3391,10.11,-23.12,3.86
"P04","Tree frog","Tree frog","Amphibians","56RVER18",0.3206,9.03,-24.02,3.67
"P04","Tree frog","Tree frog","Amphibians","56RVER8",0.3042,10.85,-23.38,3.7
"P04","Tree frog","Tree frog","Amphibians","56RVER13",0.2767,9.06,-26.42,3.69
"P04","Tree frog","Tree frog","Amphibians","56RVER5",0.2547,8.28,-27.95,3.61
"P04","Tree frog","Tree frog","Amphibians","56RVER9",0.2943,9.52,-24.34,3.71
"P04","Tree frog","Tree frog","Amphibians","56RVER4",0.4463,8.24,-26.55,3.91
"P04","Tree frog","Tree frog","Amphibians","56RVER10",0.3947,9.04,-27.08,3.94
"P04","Tree frog","Tree frog","Amphibians","56RVER1",0.3695,9.74,-27.36,3.76
"P04","Tree frog","Tree frog","Amphibians","56RVER11",0.2663,9.76,-25.39,3.6
"P04","Tree frog","Tree frog","Amphibians","56RVER2",0.391,9.85,-24.56,3.62
"P04","Marbled newt","Marbled newt","Amphibians","56TMAR4",0.3837,9.31,-25.64,3.5
"P04","Marbled newt","Marbled newt","Amphibians","56TMAR6",0.406,8.26,-25.83,3.5
"P04","Marbled newt","Marbled newt","Amphibians","56TMAR7",0.4204,8.65,-25.37,3.42
"P04","Marbled newt","Marbled newt","Amphibians","56TMAR5",0.4282,9.44,-26.23,3.49
"P04","Marbled newt","Marbled newt","Amphibians","56TMAR2",0.4171,8.62,-25.8,3.54
"P04","Marbled newt","Marbled newt","Amphibians","56TMAR1",0.3965,7.97,-25.58,3.45
"P04","Marbled newt","Marbled newt","Amphibians","56TMAR3",0.4143,8.37,-25.36,3.46
"P09","Palmate newt","Palmate newt","Amphibians","66TPAL12",0.4077,6.65,-28.9,3.42
"P07","Agile frog","Agile frog","Amphibians","72GAGI11",0.3907,4.45,-32.68,3.59
"P07","Agile frog","Agile frog","Amphibians","72GAGI14",0.4464,4.07,-33.4,3.59
"P07","Agile frog","Agile frog","Amphibians","72GAGI13",0.4003,4.62,-32.99,3.46
"P07","Agile frog","Agile frog","Amphibians","72GAGI12",0.4082,4.61,-33.49,3.58
"P07","Agile frog","Agile frog","Amphibians","72GAGI9",0.3996,4.32,-32.9,3.57
"P07","Agile frog","Agile frog","Amphibians","72GAGI10",0.4296,4.22,-32.37,3.61
"P07","Agile frog","Agile frog","Amphibians","72GAGI1",0.4339,4.22,-32.63,3.66
"P07","Agile frog","Agile frog","Amphibians","72GAGI2",0.3788,4.46,-33.13,3.51
"P07","Agile frog","Agile frog","Amphibians","72GAGI6",0.4271,4.47,-33.48,3.66
"P07","Agile frog","Agile frog","Amphibians","72GAGI3",0.334,3.69,-33.06,3.64
"P07","Agile frog","Agile frog","Amphibians","72GAGI5",0.4187,4.48,-33.07,3.69
"P07","Agile frog","Agile frog","Amphibians","72GAGI15",0.4331,4.55,-33.04,3.65
"P07","Agile frog","Agile frog","Amphibians","72GAGI4",0.4145,3.96,-32.81,3.69
"P07","Agile frog","Agile frog","Amphibians","72GAGI7",0.3957,4.23,-33.11,3.57
"P07","Agile frog","Agile frog","Amphibians","72GAGI8",0.403,3.97,-33.05,3.55
"P07","Palmate newt","Palmate newt","Amphibians","72TPAL1",0.3914,6.08,-30.76,3.38
"P12","Tree frog","Tree frog","Amphibians","87RVER9",0.4289,7.2,-34.1,3.87
"P12","Tree frog","Tree frog","Amphibians","87RVER15",0.3732,8.43,-33.68,3.87
"P12","Tree frog","Tree frog","Amphibians","87RVER8",0.3026,8.62,-33.77,3.68
"P12","Tree frog","Tree frog","Amphibians","87RVER10",0.2627,8.99,-34.3,3.68
"P12","Tree frog","Tree frog","Amphibians","87RVER5",0.4035,8.08,-32.68,3.77
"P12","Tree frog","Tree frog","Amphibians","87RVER11",0.3855,8,-34.91,3.82
"P12","Tree frog","Tree frog","Amphibians","87RVER4",0.2467,8.67,-34.45,3.68
"P12","Tree frog","Tree frog","Amphibians","87RVER1",0.3032,8.56,-34.6,3.7
"P12","Tree frog","Tree frog","Amphibians","87RVER2",0.2493,8.39,-34.47,3.77
"P12","Tree frog","Tree frog","Amphibians","87RVER3",0.3301,7.27,-33.39,3.58
"P12","Tree frog","Tree frog","Amphibians","87RVER7",0.3897,8.31,-35.34,3.68
"P12","Tree frog","Tree frog","Amphibians","87RVER20",0.285,8.01,-33.55,3.7
"P12","Tree frog","Tree frog","Amphibians","87RVER16",0.3302,7.74,-33.43,3.74
"P12","Tree frog","Tree frog","Amphibians","87RVER6",0.3088,8.45,-33.15,3.6
"P12","Tree frog","Tree frog","Amphibians","87RVER18",0.3154,8.9,-34.02,3.75
"P12","Tree frog","Tree frog","Amphibians","87RVER17",0.3884,7.17,-34.27,3.63
"P12","Tree frog","Tree frog","Amphibians","87RVER14",0.3831,8.81,-34.26,3.71
"P12","Tree frog","Tree frog","Amphibians","87RVER12",0.2693,8.33,-34.59,3.71
"P12","Tree frog","Tree frog","Amphibians","87RVER19",0.4205,8.68,-34.2,3.7
"P12","Tree frog","Tree frog","Amphibians","87RVER13",0.3837,8.41,-34.67,3.92
"P12","Marbled newt","Marbled newt","Amphibians","87TMAR2",0.4209,7.42,-25.59,3.59
"P12","Marbled newt","Marbled newt","Amphibians","87TMAR5",0.395,7.03,-24.83,3.44
"P12","Marbled newt","Marbled newt","Amphibians","87TMAR4",0.4032,7.45,-25.51,3.46
"P12","Marbled newt","Marbled newt","Amphibians","87TMAR7",0.4299,7.56,-25.14,3.46
"P12","Marbled newt","Marbled newt","Amphibians","87TMAR6",0.4294,6.77,-24.79,3.37
"P12","Marbled newt","Marbled newt","Amphibians","87TMAR11",0.4182,8.22,-25.59,3.39
"P12","Marbled newt","Marbled newt","Amphibians","87TMAR9",0.4096,8.63,-26.17,3.39
"P12","Marbled newt","Marbled newt","Amphibians","87TMAR8",0.4175,7.29,-25.73,3.43
"P12","Marbled newt","Marbled newt","Amphibians","87TMAR10",0.4073,7.67,-26.36,3.41
"P12","Marbled newt","Marbled newt","Amphibians","87TMAR1",0.4118,7.42,-25.62,3.53
"P12","Marbled newt","Marbled newt","Amphibians","87TMAR3",0.411,7.22,-26.32,3.53
"P12","Agile frog","Agile frog","Amphibians","87GAGI3",0.34,6.52,-29.75,3.6
"P12","Agile frog","Agile frog","Amphibians","87GAGI4",0.4377,6.28,-32.14,3.58
"P12","Agile frog","Agile frog","Amphibians","87GAGI2",0.3074,6.67,-31.27,3.63
"P12","Agile frog","Agile frog","Amphibians","87GAGI1",0.3957,6.37,-32.13,3.58
"P12","Agile frog","Agile frog","Amphibians","87GAGI9",0.4098,6.41,-30.46,3.51
"P12","Agile frog","Agile frog","Amphibians","87GAGI12",0.3111,6.34,-32.39,3.64
"P12","Agile frog","Agile frog","Amphibians","87GAGI16",0.4044,6.22,-32.63,3.62
"P12","Agile frog","Agile frog","Amphibians","87GAGI14",0.4151,6.4,-31.76,3.59
"P12","Agile frog","Agile frog","Amphibians","87GAGI6",0.4338,6.59,-31.43,3.52
"P12","Agile frog","Agile frog","Amphibians","87GAGI10",0.4211,6.79,-32.26,3.62
"P12","Agile frog","Agile frog","Amphibians","87GAGI11",0.4121,7.06,-30.44,3.7
"P12","Agile frog","Agile frog","Amphibians","87GAGI19",0.2404,6.65,-30.49,3.76
"P12","Agile frog","Agile frog","Amphibians","87GAGI17",0.3423,6.4,-32.05,3.77
"P12","Agile frog","Agile frog","Amphibians","87GAGI7",0.2936,6.33,-31.2,3.55
"P12","Agile frog","Agile frog","Amphibians","87GAGI20",0.4074,6.27,-32.22,3.67
"P12","Agile frog","Agile frog","Amphibians","87GAGI8",0.4135,6.38,-32.56,3.71
"P12","Agile frog","Agile frog","Amphibians","87GAGI15",0.4268,6.27,-32.04,3.75
"P12","Agile frog","Agile frog","Amphibians","87GAGI13",0.3447,7.09,-32.33,3.58
"P12","Agile frog","Agile frog","Amphibians","87GAGI5",0.3015,6.92,-31.92,3.66
"P12","Agile frog","Agile frog","Amphibians","87GAGI18",0.4004,6.65,-29.77,3.63
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL20",0.4097,7.33,-27.99,3.48
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL18",0.4081,6.21,-26.62,3.5
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL3",0.4304,8.46,-26.71,3.67
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL2",0.3312,7.35,-28.07,3.48
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL19",0.4032,6.38,-27.07,3.48
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL16",0.383,7.31,-27.1,3.47
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL5",0.2992,6.82,-27.38,3.42
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL13",0.4149,6.69,-27.62,3.54
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL4",0.4003,6.93,-26.45,3.45
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL17",0.3804,7.63,-28.71,3.46
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL7",0.4037,6.82,-28.82,3.56
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL15",0.4339,6.72,-27.4,3.5
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL6",0.409,7.1,-28.27,3.53
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL14",0.4169,6.3,-27,3.44
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL9",0.4157,6.54,-26.8,3.4
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL12",0.4148,7.59,-27.91,3.45
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL8",0.2851,6.95,-27.36,3.47
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL10",0.4353,6.48,-26.93,3.46
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL11",0.3976,7.48,-27.85,3.47
"P12","Palmate newt","Palmate newt","Amphibians","87TPAL1",0.4236,6.02,-28.49,3.51
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL14",0.4161,7.03,-26.95,3.48
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL20",0.4004,7.54,-27.55,3.47
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL19",0.4048,6.3,-27.68,3.58
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL6",0.4322,6.51,-27.02,3.51
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL3",0.4043,6.07,-25.61,3.5
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL18",0.4053,6.05,-26.45,3.47
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL4",0.4098,7.43,-27.45,3.54
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL8",0.3599,6.81,-27.15,3.39
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL13",0.4048,5.84,-26.22,3.41
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL7",0.4453,6.33,-26.24,3.39
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL17",0.4257,7.42,-27.56,3.51
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL1",0.4014,5.87,-25.57,3.41
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL15",0.4175,8.98,-29.36,3.43
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL2",0.4209,6.11,-26.82,3.42
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL10",0.4141,6.04,-25.95,3.52
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL11",0.4285,5.96,-27.48,3.41
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL5",0.3872,5.99,-27.44,3.43
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL9",0.4017,5.76,-26.71,3.45
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL16",0.4177,6.93,-27.01,3.46
"P11","Palmate newt","Palmate newt","Amphibians","94TPAL12",0.4409,6.9,-26.93,3.51
"P11","Tree frog","Tree frog","Amphibians","94RVER11",0.3297,6.28,-31.09,3.65
"P11","Tree frog","Tree frog","Amphibians","94RVER17",0.3448,6.31,-30.75,3.62
"P11","Tree frog","Tree frog","Amphibians","94RVER2",0.4071,6.68,-30.54,3.61
"P11","Tree frog","Tree frog","Amphibians","94RVER4",0.4446,6.65,-30.42,3.66
"P11","Tree frog","Tree frog","Amphibians","94RVER10",0.4101,6.48,-30.33,3.59
"P11","Tree frog","Tree frog","Amphibians","94RVER13",0.4187,5.72,-30.13,3.82
"P11","Tree frog","Tree frog","Amphibians","94RVER7",0.2916,6.27,-30.1,3.78
"P11","Tree frog","Tree frog","Amphibians","94RVER20",0.4042,6.25,-29.89,3.63
"P11","Tree frog","Tree frog","Amphibians","94RVER9",0.4139,5.85,-29.79,3.63
"P11","Tree frog","Tree frog","Amphibians","94RVER15",0.3927,6.26,-29.77,3.58
"P11","Tree frog","Tree frog","Amphibians","94RVER12",0.4181,6.13,-29.67,3.54
"P11","Tree frog","Tree frog","Amphibians","94RVER1",0.3835,5.67,-29.48,3.71
"P11","Tree frog","Tree frog","Amphibians","94RVER18",0.24,5.88,-28.26,3.57
